Area Code,Date,Market,Market Size,Product,Product Line,Product Type,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Total Expenses
719,40909,Central,Major Market,Amaretto,Beans,Coffee,Colorado,Regular,90,130,100,220,89,777,130,24,94,219,36
970,40909,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,80,110,80,190,83,623,107,27,68,190,39
970,40909,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Colorado,Decaf,100,140,110,240,95,821,139,26,101,234,38
303,40909,Central,Major Market,Green Tea,Leaves,Tea,Colorado,Regular,30,50,30,80,44,623,56,14,30,100,26
303,40909,Central,Major Market,Caffe Mocha,Beans,Espresso,Colorado,Regular,60,90,70,150,54,456,80,15,54,134,26
720,40909,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Decaf,80,130,80,210,72,558,108,23,53,180,55
970,40909,Central,Major Market,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,140,160,110,300,170,1091,171,47,99,341,72
719,40909,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,50,80,20,130,63,435,87,57,0,150,87
970,40909,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,50,70,40,120,60,336,80,19,33,140,47
719,40909,Central,Major Market,Darjeeling,Leaves,Tea,Colorado,Regular,40,70,20,110,58,338,72,22,17,130,55
303,40909,Central,Major Market,Earl Grey,Leaves,Tea,Colorado,Regular,50,70,40,120,64,965,76,19,36,140,40
217,40909,Central,Major Market,Colombian,Beans,Coffee,Illinois,Regular,150,210,130,360,144,862,201,47,111,345,90
309,40909,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Illinois,Decaf,100,140,100,240,95,608,139,30,87,234,52
309,40909,Central,Major Market,Caffe Mocha,Beans,Espresso,Illinois,Regular,270,370,260,640,234,1310,312,77,203,546,109
630,40909,Central,Major Market,Decaf Espresso,Beans,Espresso,Illinois,Decaf,260,270,180,530,228,1459,228,63,140,456,88
312,40909,Central,Major Market,Chamomile,Leaves,Herbal Tea,Illinois,Decaf,70,120,100,190,89,777,130,24,95,219,35
630,40909,Central,Major Market,Lemon,Leaves,Herbal Tea,Illinois,Decaf,70,90,60,160,83,623,107,27,68,190,39
773,40909,Central,Major Market,Mint,Leaves,Herbal Tea,Illinois,Decaf,80,120,100,200,95,821,139,26,101,234,38
